Entity,Code,Year,p90 of income/consumption distribution ((international-$ per day)),p10 of income/consumption distribution ((international-$ per day))
Gabon (cons),,2005,14.276846,2.1208918
Gabon (cons),,2017,18.482746,2.9396827
Gambia (cons),,1998,4.0347009,0.40239334
Gambia (cons),,2003,6.8618436,0.80192083
Gambia (cons),,2010,9.0109262,1.2876959
Gambia (cons),,2015,9.5714817,1.9162977
Georgia (cons),,1996,14.502165,2.3762298
Georgia (cons),,1997,10.250676,1.2879921
Georgia (cons),,1998,10.710141,1.2899503
Georgia (cons),,1999,9.0854721,1.1964021
Georgia (cons),,2000,8.8057499,1.1157136
Georgia (cons),,2001,8.3836479,1.1666625
Georgia (cons),,2002,10.466346,1.7013283
Georgia (cons),,2003,10.145159,1.6620383
Georgia (cons),,2004,10.383569,1.6687436
Georgia (cons),,2005,10.341189,1.6488857
Georgia (cons),,2006,10.167072,1.6634451
Georgia (cons),,2007,10.22475,1.5948778
Georgia (cons),,2008,10.708994,1.6723536
Georgia (cons),,2009,11.264356,1.7751865
Georgia (cons),,2010,11.378176,1.61792
