Entity,Code,Year,Fossil fuels (%)
Switzerland,CHE,1966,3.1642504095833246
Switzerland,CHE,1967,5.617396208169123
Switzerland,CHE,1968,9.517927001979665
Switzerland,CHE,1969,7.399056221242972
Switzerland,CHE,1970,10.707747941986078
Switzerland,CHE,1971,4.590289174120898
Switzerland,CHE,1972,2.103217793716494
Switzerland,CHE,1973,7.491963686018166
Switzerland,CHE,1974,-9.997284260859763
Switzerland,CHE,1975,-2.9597369059894962
Switzerland,CHE,1976,3.7780769328866315
Switzerland,CHE,1977,1.2351005528459025
Switzerland,CHE,1978,2.6054396282001235
Switzerland,CHE,1979,-3.360890105696568
Switzerland,CHE,1980,1.3724713065391025
Switzerland,CHE,1981,-5.314038949228284
Switzerland,CHE,1982,-5.0539295896733005
Switzerland,CHE,1983,8.684576244838581
Switzerland,CHE,1984,-1.2893240518960014
Switzerland,CHE,1985,1.9499292155580772
Switzerland,CHE,1986,8.036314286107494
Switzerland,CHE,1987,-4.841542371178775
Switzerland,CHE,1988,-0.08790117828872956
Switzerland,CHE,1989,-2.7539529096133997
Switzerland,CHE,1990,6.964212931579072
Switzerland,CHE,1991,2.350275746813435
Switzerland,CHE,1992,1.1606947905811182
Switzerland,CHE,1993,-5.188555897617264
Switzerland,CHE,1994,2.7426153345032622
Switzerland,CHE,1995,-5.097800375839567
Switzerland,CHE,1996,3.845726212673939
Switzerland,CHE,1997,3.7038962097690087
Switzerland,CHE,1998,1.3306031260778672
Switzerland,CHE,1999,-2.038281220554028
Switzerland,CHE,2000,-2.3541622271622042
Switzerland,CHE,2001,6.570375535313322
Switzerland,CHE,2002,-4.760532861751122
Switzerland,CHE,2003,-1.4091403607318975
Switzerland,CHE,2004,0.04464188019643878
Switzerland,CHE,2005,2.0239808113068136
Switzerland,CHE,2006,1.686425744827913
Switzerland,CHE,2007,-8.464370598978043
Switzerland,CHE,2008,6.414381841419492
Switzerland,CHE,2009,0.5849622191589354
Switzerland,CHE,2010,-4.111136624760492
Switzerland,CHE,2011,-4.570529321222083
Switzerland,CHE,2012,3.090868845419914
Switzerland,CHE,2013,4.817928409389327
Switzerland,CHE,2014,-10.723632757199365
Switzerland,CHE,2015,2.352581445347268
Switzerland,CHE,2016,-3.3282433482295315
Switzerland,CHE,2017,2.224955232266246
Switzerland,CHE,2018,-3.608874128824968
Taiwan,TWN,1966,7.64878792787671
Taiwan,TWN,1967,10.326898586795942
Taiwan,TWN,1968,11.550831853063137
Taiwan,TWN,1969,8.203909066267778
Taiwan,TWN,1970,10.35455602290507
Taiwan,TWN,1971,27.089690205163343
Taiwan,TWN,1972,6.057796832487772
Taiwan,TWN,1973,18.744392015236034
Taiwan,TWN,1974,-6.935711638339937
Taiwan,TWN,1975,10.010679846396698
Taiwan,TWN,1976,25.626258754962826
Taiwan,TWN,1977,10.578865541254467
Taiwan,TWN,1978,14.64773497051446
Taiwan,TWN,1979,3.1290069403338228
Taiwan,TWN,1980,5.89713235441629
Taiwan,TWN,1981,-11.501235201756854
Taiwan,TWN,1982,-1.5654336351610398
Taiwan,TWN,1983,8.065390524817474
Taiwan,TWN,1984,2.102657357763893
Taiwan,TWN,1985,15.894146798341712
Taiwan,TWN,1986,12.575842799378245
Taiwan,TWN,1987,5.013607971907685
Taiwan,TWN,1988,14.959698188804271
Taiwan,TWN,1989,8.887895413006163
Taiwan,TWN,1990,3.795253665849474
Taiwan,TWN,1991,6.921490089405946
Taiwan,TWN,1992,5.89847317904304
Taiwan,TWN,1993,8.217647557550434
Taiwan,TWN,1994,6.178668377239549
Taiwan,TWN,1995,6.805422067895828
Taiwan,TWN,1996,4.041646724395864
Taiwan,TWN,1997,7.953678801180808
Taiwan,TWN,1998,5.964445677290864
Taiwan,TWN,1999,11.81155401600682
Taiwan,TWN,2000,2.3263655386301707
Taiwan,TWN,2001,4.308557301151605
Taiwan,TWN,2002,4.117590486406875
Taiwan,TWN,2003,4.896185794537278
Taiwan,TWN,2004,5.67279054185954
Taiwan,TWN,2005,0.2963773239386125
Taiwan,TWN,2006,2.393500729509146
Taiwan,TWN,2007,4.690108702786788
