Entity,Code,Year,Drinking water - Proportion of population using improved water supplies - Safely managed - National - Percent (%)
Greece,GRC,2014,98.89447264908672
Greece,GRC,2015,98.89577313295257
Greenland,GRL,2000,93.8333908045978
Greenland,GRL,2001,93.8333908045978
Greenland,GRL,2002,93.8333908045978
Greenland,GRL,2003,93.8333908045978
Greenland,GRL,2004,94.14477011494262
Greenland,GRL,2005,94.45614942528744
Greenland,GRL,2006,94.76752873563224
Greenland,GRL,2007,95.07890804597706
Greenland,GRL,2008,95.39028735632189
Greenland,GRL,2009,95.70166666666671
Greenland,GRL,2010,96.01304597701156
Greenland,GRL,2011,96.32442528735646
Greenland,GRL,2012,96.63580459770127
Greenland,GRL,2013,96.758037
Greenland,GRL,2014,96.753505
Greenland,GRL,2015,96.749204
Guatemala,GTM,2000,50.1711664060099
Guatemala,GTM,2001,50.859854011099
Guatemala,GTM,2002,51.55139357332963
Guatemala,GTM,2003,52.24594013329647
Guatemala,GTM,2004,52.94373479351562
Guatemala,GTM,2005,53.64465071952515
Guatemala,GTM,2006,54.34874186043982
Guatemala,GTM,2007,55.05597019537411
Guatemala,GTM,2008,55.76620886460022
Guatemala,GTM,2009,56.47950803457715
Guatemala,GTM,2010,57.1957409647305
Guatemala,GTM,2011,57.91478319275009
Guatemala,GTM,2012,58.63676849906653
Guatemala,GTM,2013,59.36140167174357
Guatemala,GTM,2014,60.08889843048434
Guatemala,GTM,2015,60.81896732074222
Hungary,HUN,2000,52.30031135041818
Hungary,HUN,2001,52.30036312504
Hungary,HUN,2002,52.30134887988803
Hungary,HUN,2003,52.30156361650607
Hungary,HUN,2004,54.73808053943167
Hungary,HUN,2005,57.17464654503183
Hungary,HUN,2006,59.61126535052765
Hungary,HUN,2007,62.04790654768807
Hungary,HUN,2008,64.48457048419193
Hungary,HUN,2009,66.92125492876478
Hungary,HUN,2010,69.35796151877655
Hungary,HUN,2011,71.7946893126383
Hungary,HUN,2012,74.23143727161784
Hungary,HUN,2013,76.66820119470624
Hungary,HUN,2014,79.10498113860294
Hungary,HUN,2015,81.54177478317207
Iceland,ISL,2000,89.5372727272727
Iceland,ISL,2001,90.16181818181826
Iceland,ISL,2002,90.7863636363636
Iceland,ISL,2003,91.41090909090917
Iceland,ISL,2004,92.03545454545451
Iceland,ISL,2005,92.66000000000008
Iceland,ISL,2006,93.28454545454542
Iceland,ISL,2007,93.90909090909099
Iceland,ISL,2008,94.53363636363633
Iceland,ISL,2009,95.1581818181819
Iceland,ISL,2010,95.78272727272724
Iceland,ISL,2011,96.40727272727284
Iceland,ISL,2012,97.03181818181815
Iceland,ISL,2013,97.65636363636371
Iceland,ISL,2014,98.28090909090906
Iceland,ISL,2015,98.28090909090906
Iran,IRN,2000,91.12408661474608
Iran,IRN,2001,91.21514522510085
Iran,IRN,2002,91.30544077447499
Iran,IRN,2003,91.3949732628685
Iran,IRN,2004,91.4836155134513
Iran,IRN,2005,91.49409042345124
Iran,IRN,2006,91.50179748787754
Iran,IRN,2007,91.5008481310707
Iran,IRN,2008,91.4945091668108
Iran,IRN,2009,91.4857981388477
Iran,IRN,2010,91.4748615018852
Iran,IRN,2011,91.46160420888272
Iran,IRN,2012,91.44628703945835
Iran,IRN,2013,91.42742634010942
Iran,IRN,2014,91.40532016100983
Iran,IRN,2015,91.3801432310782
Ireland,IRL,2000,91.7441528734892
Ireland,IRL,2001,92.24379274334264
